,run,last_objective,usage_number
0,0,8.190593224653965,32
1,1,7.529972119240795,37
2,2,8.731461237787912,38
3,3,7.542448848249254,32
4,4,8.206011797329168,14
5,5,9.477568007234337,19
6,6,7.886409007611068,41
7,7,6.275080011777729,14
8,8,8.249602006263146,14
9,9,7.090882026009672,17
