,run,last_objective,usage_number
0,0,3.669115477536877,43
1,1,2.1496002401307335,42
2,2,1.4649670659129592,42
3,3,3.1683497038625696,42
4,4,3.121022673130184,40
5,5,3.2237686137056762,37
6,6,2.9235660088566218,44
7,7,3.116403215605042,44
8,8,3.436285052820508,40
9,9,2.255693424950926,44
