,run,last_objective,usage_number
0,0,8.193068961651171,39
1,1,6.829987713397357,14
2,2,6.869964614771021,11
3,3,6.9476656138297805,12
4,4,7.112396535438364,19
5,5,7.019311424999875,9
6,6,7.161361699932421,11
7,7,6.387783793809745,13
8,8,6.789170941580396,9
9,9,7.31786288147944,14
