,run,last_objective,usage_number
0,0,9.321838846309323,45
1,1,8.750840966050797,37
2,2,8.749110742024952,14
3,3,9.176249867508702,38
4,4,9.018227147944058,44
5,5,8.494872907849793,45
6,6,8.591139369243802,44
7,7,8.728677620201903,42
8,8,8.685171943351056,44
9,9,8.831136451406866,42
