,run,last_objective,usage_number
0,0,820.3586684098485,24
1,1,752.6272567954361,41
2,2,825.79190334746,40
3,3,910.6133069860182,42
4,4,747.7760081150341,41
5,5,546.6140217660532,41
6,6,919.3629348140354,40
7,7,1044.1320774250917,42
8,8,645.2828040716568,37
9,9,687.5684007976233,41
