,run,last_objective,usage_number
0,0,37.6876146825641,39
1,1,38.33862897873934,35
2,2,35.72024324945594,40
3,3,32.61231918090032,42
4,4,37.825928265227034,43
5,5,46.48465359364019,44
6,6,35.13477143887966,41
7,7,50.09903686013661,42
8,8,40.825856356592375,41
9,9,35.15408730294864,40
