,run,last_objective,usage_number,generation
0,0,0.20967590105931233,351,355
1,1,0.21265666728688348,370,374
2,2,0.19809676708794077,340,345
3,3,0.20126411444781622,347,352
4,4,0.21291244020227085,309,314
5,5,0.21347247658885937,312,317
6,6,0.1965059275159473,382,386
7,7,0.20715494676037283,308,313
