,run,last_objective,usage_number,generation
0,0,0.022319080383280454,296,300
1,1,0.020831987047552847,271,275
2,2,0.01816079264790238,211,215
3,3,0.022011213753908354,296,300
4,4,0.01884665122936191,260,264
5,5,0.020530217914019655,281,285
6,6,0.04125344325553826,296,300
7,7,0.022064900116152142,296,300
8,8,0.013093852166288222,208,212
9,9,0.0504866853632393,296,300
