,run,last_objective,usage_number,generation
0,0,17.499163597033156,286,300
1,1,17.532951728025694,292,300
2,2,17.534338910280525,289,300
3,3,17.082651188944418,283,300
4,4,17.21953533077075,290,300
5,5,17.697708250483775,289,300
6,6,17.754017944428824,291,300
7,7,17.443838599627355,288,300
8,8,17.720512428896765,286,300
