,run,last_objective,usage_number,generation
0,0,0.06631692367862452,200,210
1,1,0.08454302144140025,378,389
2,2,0.07821195954830329,274,284
3,3,0.07750247291933932,171,178
4,4,0.07436441667791172,202,208
5,5,0.07534992769014226,301,312
6,6,0.07727305747260549,205,212
7,7,0.07771550168971353,115,125
8,8,0.07827699481194905,196,205
