,generation,test_roc
0,1,
1,2,
2,3,
3,4,0.5007478318077537
4,5,0.4911237034809955
5,6,0.5010416918327351
6,7,0.5098285716338209
7,8,0.5735464793018887
8,9,0.5080169861589763
9,10,0.5016955866128043
10,11,0.5025893779813606
11,12,0.5257982883454402
12,13,0.5444074022411995
13,14,0.5092519782423361
14,15,0.5218383718595873
15,16,0.5290021289217612
16,17,0.508839166687197
17,18,0.5028107303133011
18,19,0.5284183725966014
19,20,0.5852807575111277
20,21,0.6008664787447631
21,22,0.5400998773142874
22,23,0.5697821342501306
23,24,0.6102163035367745
24,25,0.5669643779761065
25,26,0.5560770219710173
26,27,0.5511421825631945
27,28,0.5638718567474871
28,29,0.575244031903047
29,30,0.6452636381211683
30,31,0.5800984304564307
31,32,0.6177537066311625
32,33,0.6126241704312921
33,34,0.6425542484540854
34,35,0.684998022106271
35,36,0.6803497865333722
36,37,0.6606441710050308
37,38,0.6526174317456918
38,39,0.7102667957303233
39,40,0.6786525555729267
40,41,0.8489918175073603
41,42,0.7273690388391872
42,43,0.7334352369833236
43,44,0.7156402880566948
44,45,0.7382711739483564
45,46,0.748631908511674
46,47,0.7379938041748637
47,48,0.7239302746953522
48,49,0.617494698017961
49,50,0.743178882515973
50,51,0.7424213244616785
51,52,0.7568087329727111
52,53,0.7586292207355199
53,54,0.7130339664607566
54,55,0.7740982647511798
55,56,0.7221580509954012
56,57,0.7290636683204571
57,58,0.7717405668399546
58,59,0.749535398113287
59,60,0.7572936641175225
60,61,0.7528701040622525
61,62,0.769442334369768
62,63,0.7575199944817771
63,64,0.4566544840565095
64,65,0.7605936417266632
65,66,0.7783764131947224
66,67,0.7800862332709448
67,68,0.7658631965230226
68,69,0.7471449757670905
69,70,0.9663787353717922
70,71,0.7614012424167906
71,72,0.7570014298450106
72,73,0.7604826086956521
73,74,0.738603902697327
74,75,0.5093958904263336
75,76,0.7911583824848667
76,77,0.7815190626513716
77,78,0.7836635603899396
78,79,0.783937559127123
79,80,0.7480636705753321
80,81,0.7608229371624933
81,82,0.7823601287255545
82,83,0.6513169367005174
83,84,0.7794099083954157
84,85,0.778676962163562
85,86,0.6498645217887158
86,87,0.9256695731789347
87,88,0.7683979372150469
88,89,0.7433273122136298
89,90,0.6648843192836051
90,91,0.5748282855204496
91,92,0.766766678646822
92,93,0.6861380209561062
93,94,0.7442083472299279
94,95,0.7555646846017519
95,96,0.7675617061752622
96,97,0.7581951501311015
97,98,0.9422294438161012
98,99,0.7834157947090009
99,100,0.6969503434710229
100,101,0.6725526669957349
101,102,0.72301462569208
102,103,0.756403030678393
103,104,0.6640542209393668
104,105,0.758335600786735
105,106,0.7595049204145764
106,107,0.7087099876428212
107,108,0.7847365534868307
108,109,0.7568579770864332
109,110,0.7699286086080349
110,111,0.7742482824094223
111,112,0.7589372666992786
112,113,0.7624649320706732
113,114,0.7581890567560237
114,115,0.7571379034479392
115,116,0.7724270964502318
116,117,0.749262113045916
117,118,0.7753984329840822
118,119,0.721759355608592
119,120,0.5951676515756614
120,121,0.7055693780229567
121,122,0.8648720584756032
122,123,0.7700660177452175
123,124,0.7142234290316055
124,125,0.7504039315236615
125,126,0.7609935732293206
126,127,0.7749590573970342
127,128,0.76765786693227
128,129,0.7659088920254333
129,130,0.7492340537260819
130,131,0.7628382657215315
131,132,0.7671766675924832
132,133,0.7106678254355574
133,134,0.7608161489008651
134,135,0.7366682055696289
135,136,0.7458994890044712
136,137,0.7730952588052434
137,138,0.788519515244356
138,139,0.7862483552912135
139,140,0.7584245892188379
140,141,0.7793612548509202
141,142,0.782354289091066
142,143,0.7843568054593966
143,144,0.7727228212532867
144,145,0.7765662783190516
145,146,0.7878045889605647
146,147,0.7808108119281199
147,148,0.7890320596760978
148,149,0.7278350676260167
149,150,0.7658649281258146
150,151,0.6407133664474456
151,152,0.6466194401236812
152,153,0.7648669075384206
153,154,0.7855170892960512
154,155,0.7853575498354922
155,156,0.7775476313188108
156,157,0.7585406350715321
157,158,0.7716641986656178
158,159,0.7822897664409121
159,160,0.7848994010438101
160,161,0.7823033691631994
161,162,0.7842999167954358
162,163,0.7816830139231723
163,164,0.7857867371323152
164,165,0.7897677945706528
165,166,0.7719404979812565
166,167,0.7802240371466747
167,168,0.7784109770810715
168,169,0.7619427871195504
169,170,0.5049260079715888
170,171,0.6491619402026358
171,172,0.7623418672513662
172,173,0.7534817052598198
173,174,0.7910310682115896
174,175,0.7796387965695115
175,176,0.7063153867694976
176,177,0.7865943703984234
177,178,0.7722047314038168
178,179,0.7540917672082941
179,180,0.7830572091666732
180,181,0.778093625989949
181,182,0.7847296385880651
182,183,0.6489995448798209
183,184,0.7936192636679471
184,185,0.7836964589791731
185,186,0.7800697519113137
186,187,0.7321566071790543
187,188,0.7392667761240443
188,189,0.7774560262036112
189,190,0.7898686054256567
190,191,0.7774100059951552
191,192,0.7074460518191339
192,193,0.7739356603057617
193,194,0.765173853011907
194,195,0.7764246109614206
195,196,0.7696339586950691
196,197,0.7874635464756206
197,198,0.7930490255894914
198,199,0.7474927605085743
