,generation,test_roc
0,1,
1,2,
2,3,
3,4,0.7426813871329417
4,5,0.6550051443845682
5,6,0.5386388414769844
6,7,0.6678113931204737
7,8,0.695107506544907
8,9,0.6473994480960424
9,10,0.7392169694070925
10,11,0.7180464478243445
11,12,0.6146192568304059
12,13,0.6516590607620507
13,14,0.6211345159844972
14,15,0.6596015477643199
15,16,0.6876247000901985
16,17,0.722328290939396
17,18,0.6833601195555377
18,19,0.7038381289981459
19,20,0.719821134676145
20,21,0.7191708097750327
21,22,0.6826375954698826
22,23,0.7120121586711928
23,24,0.8950057729789307
24,25,0.9520716348595514
25,26,0.7455803825445405
26,27,0.6535498275190246
27,28,0.6851655096689635
28,29,0.6840135603547839
29,30,0.7085353047209886
30,31,0.8814732141034696
31,32,0.7450204201272044
32,33,0.735937795758949
33,34,0.7002995039503559
34,35,0.7536209008417216
35,36,0.6937810797300914
36,37,0.7096522024722266
37,38,0.7206211011777747
38,39,0.7207957934543187
39,40,0.7081691155693836
40,41,0.7452631385064553
41,42,0.7170822780491759
42,43,0.6101805343978915
43,44,0.647293276337256
44,45,0.562981318453586
45,46,0.5876714579511226
46,47,0.7081643771537695
47,48,0.7638292339766446
48,49,0.7353986857242671
