,Src,Dst,Weight
0,5290,5236,0
1,5289,5277,0
2,5261,5280,0
3,5281,5291,1
4,5242,5253,1
5,5168,5292,0
6,5271,5095,0
7,5125,5272,1
8,5293,5228,0
9,5234,5250,0
10,5101,5273,1
11,5264,5212,0
12,5238,5229,0
13,5224,5260,0
14,5294,5274,1
15,5283,5295,0
16,5199,5296,0
17,5065,5246,1
18,5297,5249,1
19,5298,5243,0
20,5160,5158,0
21,5299,5287,0
22,5300,5301,0
23,5259,5302,0
24,5303,5166,1
25,5304,5305,1
26,5247,5244,0
27,5200,5256,0
28,5306,5307,0
29,5308,5161,1
30,5207,5232,1
31,5309,5222,0
32,5310,5154,1
33,5240,5220,1
34,5180,5251,1
35,5311,5121,0
36,5266,5312,0
37,5288,5257,1
38,5313,5226,1
39,5276,5237,0
40,5278,5314,1
41,5279,5252,1
42,5270,5183,1
43,5275,5225,1
44,5192,5282,0
45,5258,5263,1
46,5315,5137,1
47,5153,5285,0
48,5174,5156,0
49,5245,5241,0
50,5240,5272,0
51,5220,5247,0
52,5263,5290,1
53,5234,5275,0
54,5292,5183,1
55,5246,5304,0
56,5260,5192,1
57,5207,5309,1
58,5289,5236,0
59,5310,5307,1
60,5180,5242,1
61,5285,5160,1
62,5154,5174,1
63,5270,5095,0
64,5276,5137,1
65,5298,5225,0
66,5305,5273,0
67,5200,5250,1
68,5249,5288,0
69,5257,5212,0
70,5125,5153,1
71,5229,5226,0
72,5278,5222,0
73,5244,5274,1
74,5308,5156,1
75,5258,5302,0
76,5264,5228,0
77,5271,5256,0
78,5259,5161,0
79,5306,5280,0
80,5232,5121,0
81,5241,5266,1
82,5300,5279,0
83,5283,5296,0
84,5315,5238,1
85,5253,5251,0
86,5293,5314,1
87,5282,5261,1
88,5065,5224,1
89,5311,5277,0
90,5281,5158,0
91,5199,5294,0
92,5237,5287,0
93,5312,5303,0
94,5295,5168,1
95,5166,5301,0
96,5291,5245,0
97,5243,5297,1
98,5313,5252,1
99,5101,5299,0
100,5302,5279,1
101,5300,5183,1
102,5296,5095,1
103,5236,5125,1
104,5240,5293,0
105,5261,5305,1
106,5228,5276,1
107,5275,5291,1
108,5270,5158,1
109,5212,5303,0
110,5313,5229,1
111,5160,5174,1
112,5207,5153,1
113,5226,5154,0
114,5314,5306,1
115,5271,5266,1
116,5273,5309,0
117,5281,5289,0
118,5258,5245,1
119,5246,5282,0
120,5277,5242,1
121,5272,5137,1
122,5241,5121,0
123,5238,5288,0
124,5252,5065,0
125,5251,5264,1
126,5232,5274,1
127,5166,5224,1
128,5192,5256,0
129,5259,5295,0
130,5285,5260,1
131,5298,5310,0
132,5243,5200,1
133,5199,5304,1
134,5278,5297,1
135,5225,5287,0
136,5244,5220,1
137,5234,5263,0
138,5280,5249,1
139,5301,5222,0
140,5292,5308,0
141,5294,5156,1
142,5311,5283,1
143,5315,5312,1
144,5253,5290,0
145,5307,5257,1
146,5101,5237,0
147,5161,5299,1
148,5247,5168,1
149,5250,5180,0
150,5232,5263,0
151,5229,5259,0
152,5258,5285,0
153,5252,5291,1
154,5183,5314,0
155,5238,5237,0
156,5242,5293,1
157,5277,5261,1
158,5228,5256,1
159,5266,5156,0
160,5283,5121,0
161,5234,5212,0
162,5308,5222,1
163,5311,5161,0
164,5192,5257,1
165,5253,5309,0
166,5240,5278,0
167,5302,5281,1
168,5299,5279,1
169,5244,5249,1
170,5137,5310,0
171,5166,5095,0
172,5312,5307,0
173,5246,5168,0
174,5226,5224,1
175,5306,5301,0
176,5276,5271,0
177,5298,5315,0
178,5292,5125,0
179,5270,5153,1
180,5294,5180,0
181,5160,5313,0
182,5241,5297,1
183,5199,5287,0
184,5225,5289,0
185,5236,5158,1
186,5272,5245,0
187,5303,5101,1
188,5296,5288,1
189,5304,5295,0
190,5280,5174,1
191,5274,5247,0
192,5251,5200,0
193,5264,5207,0
194,5250,5282,0
195,5220,5065,0
196,5260,5300,1
197,5243,5154,1
198,5290,5273,1
199,5305,5275,0
200,5315,5273,1
201,5166,5300,1
202,5158,5287,0
203,5307,5271,1
204,5229,5272,0
205,5266,5200,0
206,5304,5236,0
207,5299,5238,1
208,5291,5297,0
209,5156,5305,1
210,5279,5276,1
211,5309,5260,0
212,5264,5296,0
213,5121,5314,1
214,5257,5222,0
215,5247,5311,0
216,5313,5137,1
217,5285,5212,1
218,5283,5295,0
219,5180,5249,1
220,5277,5280,1
221,5303,5293,1
222,5252,5244,0
223,5161,5174,1
224,5153,5160,1
225,5282,5256,1
226,5192,5168,1
227,5288,5241,0
228,5259,5312,1
229,5234,5275,0
230,5095,5065,1
231,5246,5294,0
232,5310,5281,1
233,5125,5224,1
234,5183,5245,0
235,5240,5278,0
236,5306,5154,0
237,5270,5274,1
238,5263,5237,1
239,5289,5242,0
240,5290,5250,1
241,5301,5228,0
242,5302,5199,1
243,5226,5298,1
244,5261,5232,1
245,5253,5308,0
246,5292,5207,0
247,5251,5225,0
248,5220,5258,0
249,5101,5243,0
250,5222,5297,1
251,5308,5228,1
252,5137,5153,0
253,5276,5238,1
254,5247,5278,1
255,5199,5296,0
256,5245,5234,1
257,5252,5260,0
258,5229,5309,0
259,5285,5280,1
260,5300,5293,0
261,5156,5261,1
262,5168,5266,0
263,5232,5295,0
264,5192,5270,0
265,5258,5314,1
266,5101,5283,1
267,5263,5313,0
268,5275,5180,0
269,5251,5299,0
270,5160,5240,1
271,5279,5244,0
272,5161,5200,1
273,5242,5292,1
274,5236,5065,1
275,5282,5256,1
276,5287,5274,1
277,5315,5289,0
278,5243,5121,1
279,5304,5306,0
280,5249,5305,0
281,5220,5259,0
282,5281,5272,0
283,5226,5288,1
284,5291,5298,0
285,5264,5166,0
286,5125,5225,1
287,5237,5277,0
288,5290,5257,1
289,5294,5271,1
290,5241,5311,1
291,5212,5303,0
292,5174,5250,0
293,5273,5307,0
294,5207,5312,1
295,5158,5302,1
296,5301,5253,1
297,5246,5183,1
298,5224,5154,0
299,5095,5310,1
300,5250,5271,0
301,5272,5283,1
302,5153,5312,1
303,5228,5246,1
304,5277,5289,1
305,5238,5285,0
306,5247,5313,0
307,5259,5174,1
308,5260,5256,1
309,5257,5307,0
310,5301,5242,0
311,5290,5095,0
312,5299,5161,0
313,5302,5308,0
314,5232,5166,0
315,5240,5310,0
316,5294,5303,1
