,Src,Dst,Weight
0,4574,4748,0
1,4705,4729,1
2,4749,4689,0
3,4652,4640,1
4,4490,4553,1
5,4697,4750,1
6,4720,4701,1
7,4727,4747,0
8,4630,4719,0
9,4751,4737,0
10,4752,4607,1
11,4664,4638,0
12,4726,4746,0
13,4683,4657,1
14,4753,4723,1
15,4703,4716,1
16,4754,4685,0
17,4636,4755,0
18,4639,4672,0
19,4756,4681,1
20,4742,4736,1
21,4663,4620,1
22,4667,4757,0
23,4603,4722,1
24,4758,4601,0
25,4759,4668,1
26,4461,4704,0
27,4714,4724,0
28,4728,4760,1
29,4761,4762,1
30,4673,4717,1
31,4554,4744,1
32,4669,4763,0
33,4764,4538,0
34,4733,4740,0
35,4623,4707,1
36,4650,4606,1
37,4615,4765,0
38,4766,4710,1
39,4643,4585,1
40,4608,4725,0
41,4767,4741,1
42,4648,4768,1
43,4616,4745,1
44,4721,4690,1
45,4665,4698,1
46,4735,4731,0
47,4702,4453,0
48,4730,4769,1
49,4598,4696,0
50,4737,4717,1
51,4640,4601,0
52,4740,4735,1
53,4760,4663,0
54,4603,4764,1
55,4704,4748,0
56,4453,4744,1
57,4664,4701,1
58,4716,4608,1
59,4574,4728,0
60,4697,4762,1
61,4714,4702,1
62,4741,4643,0
63,4615,4668,0
64,4720,4757,0
65,4616,4761,1
66,4710,4685,0
67,4461,4721,0
68,4638,4750,1
69,4753,4630,1
70,4746,4669,1
71,4623,4538,1
72,4766,4749,0
73,4727,4698,1
74,4673,4730,0
75,4755,4768,1
76,4490,4690,1
77,4752,4553,1
78,4723,4648,0
79,4636,4754,0
80,4759,4733,0
81,4769,4745,0
82,4765,4707,1
83,4719,4725,1
84,4729,4731,0
85,4672,4696,0
86,4598,4606,0
87,4724,4703,1
88,4705,4726,1
89,4763,4767,1
90,4665,4689,0
91,4639,4607,1
92,4747,4751,1
93,4681,4620,1
94,4742,4650,0
95,4657,4554,0
96,4667,4683,0
97,4736,4652,1
98,4756,4585,1
99,4758,4722,1
100,4737,4585,1
101,4762,4623,0
102,4756,4745,0
103,4761,4689,0
104,4601,4553,1
105,4724,4664,1
106,4752,4763,0
107,4681,4698,1
108,4615,4748,0
109,4643,4668,1
110,4685,4725,1
111,4740,4720,1
112,4640,4669,0
113,4721,4736,1
114,4630,4663,0
115,4607,4652,1
116,4704,4747,0
117,4765,4714,0
118,4755,4690,1
119,4554,4710,1
120,4735,4650,0
121,4574,4726,1
122,4767,4667,1
123,4620,4636,0
124,4603,4731,0
125,4759,4490,0
126,4723,4673,0
127,4729,4707,1
128,4733,4757,0
129,4744,4742,0
130,4598,4760,1
131,4753,4608,1
132,4697,4741,1
133,4453,4730,0
134,4657,4746,0
135,4766,4758,0
136,4754,4606,0
137,4719,4616,0
138,4638,4705,1
139,4769,4768,1
140,4728,4648,0
141,4701,4722,1
142,4702,4764,1
143,4461,4751,0
144,4683,4749,0
145,4639,4696,0
146,4672,4716,1
147,4703,4665,1
148,4717,4538,0
149,4750,4727,1
150,4765,4746,0
151,4752,4697,0
152,4702,4704,0
153,4669,4643,1
154,4616,4723,1
155,4729,4696,0
156,4668,4620,1
157,4727,4615,1
158,4730,4707,1
159,4585,4710,0
160,4652,4753,0
161,4574,4759,1
162,4461,4740,0
163,4650,4714,1
164,4623,4766,1
165,4754,4681,0
166,4726,4663,0
167,4768,4721,0
168,4453,4554,1
169,4757,4705,1
170,4719,4725,1
171,4720,4630,1
172,4639,4736,1
173,4657,4601,0
174,4538,4724,0
175,4769,4701,1
176,4749,4490,1
177,4728,4665,0
178,4763,4744,1
179,4689,4698,1
180,4606,4756,1
181,4717,4640,1
182,4716,4750,0
183,4667,4745,0
184,4703,4683,1
185,4751,4673,0
186,4607,4672,0
187,4664,4731,0
188,4742,4553,1
189,4638,4767,1
190,4758,4648,0
191,4741,4761,0
192,4737,4747,0
193,4760,4764,1
194,4685,4755,1
195,4603,4762,0
196,4636,4735,1
197,4608,4598,0
198,4733,4722,1
199,4748,4690,1
200,4638,4753,1
201,4750,4714,0
202,4704,4657,1
203,4769,4650,0
204,4766,4636,0
205,4574,4765,1
206,4761,4728,1
207,4703,4767,1
208,4668,4719,0
209,4554,4735,0
210,4664,4620,1
211,4667,4643,0
212,4702,4723,0
