,Src,Dst,Weight
0,5042,5043,1
1,5007,5044,0
2,4836,4864,0
3,4882,4886,1
4,5030,5039,0
5,5033,4798,0
6,5045,4988,1
7,5038,5025,1
8,4996,4994,1
9,4963,5018,0
10,4973,4978,1
11,4983,5037,1
12,5031,4959,0
13,5046,5035,0
14,4742,4966,0
15,5047,4974,1
16,5048,5049,1
17,4916,5002,0
18,4977,4993,0
19,4899,5041,0
20,4943,4995,1
21,5027,5050,1
22,5015,4825,0
23,5051,5021,1
24,4975,4964,0
25,5001,5052,0
26,4984,4885,0
27,5024,5053,1
28,4926,4946,0
29,4947,5005,1
30,4982,5016,1
31,5023,4887,1
32,5017,4968,1
33,5054,5036,1
34,4986,5055,1
35,4912,5056,0
36,5013,5057,1
37,5058,5026,0
38,5004,4989,1
39,5000,5059,0
40,5060,4801,1
41,5061,4960,0
42,5040,5012,0
43,4991,4998,1
44,5062,5011,1
45,4953,5014,0
46,5063,5029,1
47,5020,5034,0
48,4842,4980,0
49,5022,4878,1
50,5011,5022,0
51,4798,4825,1
52,4980,4926,1
53,4998,4964,0
54,5025,4960,0
55,5060,4996,1
56,4886,4899,1
57,5016,4968,1
58,5043,5050,1
59,5018,4993,0
60,4882,4842,1
61,4975,5042,0
62,5004,4982,1
63,5002,4995,1
64,4984,5059,0
65,4836,5040,1
66,4885,5056,1
67,5036,4963,1
68,5000,4878,0
69,5026,4966,0
70,5034,5001,0
71,5063,4983,1
72,4801,5046,0
73,5047,5007,1
74,5049,4943,0
75,5024,5055,1
76,5012,5051,0
77,5023,5033,1
78,4986,4991,0
79,5052,5013,1
80,4947,5062,0
81,5015,5041,0
82,5021,5045,1
83,5014,4989,1
84,5005,5017,1
85,4887,5053,1
86,5035,4978,1
87,5027,5037,0
88,4946,5029,1
89,4973,4953,1
90,5057,5030,0
91,5031,5061,0
92,5058,5038,0
93,4994,4988,1
94,4916,5039,0
95,5054,5044,0
96,5048,4977,1
97,5020,4959,0
98,4864,4912,1
99,4974,4742,0
100,5031,5016,0
101,4864,5053,1
102,5029,5026,0
103,5060,5011,1
104,5007,5002,1
105,4947,4988,1
106,5038,4899,1
107,5018,4943,0
108,4916,5047,0
109,5005,5054,0
110,4983,5061,1
111,5004,4912,1
112,5048,4984,1
113,5022,5058,1
114,5062,4968,1
115,5044,5045,1
116,4995,4886,0
117,4946,4882,0
118,4975,5050,1
119,5035,5027,1
120,5037,4973,0
121,5020,5052,0
122,5001,4878,1
123,4887,5021,0
124,5056,4836,0
125,5055,5034,0
126,4960,5059,1
127,4842,4742,0
128,4798,5041,1
129,4885,5040,1
130,5051,4986,1
131,5042,5063,0
132,4998,4959,0
133,5049,4966,0
134,5025,4982,0
135,5046,4974,1
136,4991,4977,1
137,5012,5024,0
138,5000,4996,0
139,5039,4994,1
140,4980,4825,1
141,4801,4964,0
142,5013,4953,1
143,5030,4963,1
144,5017,4993,0
145,5057,5036,0
146,4989,5014,0
147,5015,4978,0
148,5023,4926,1
149,5043,5033,1
150,5051,4946,1
151,5035,5012,1
152,4966,5013,0
153,4973,5007,0
154,5015,4836,0
155,4842,5047,0
156,5061,4947,0
157,4995,5024,0
158,5011,4980,0
159,4998,5023,0
160,4993,4963,1
161,5045,4986,1
162,4964,4825,1
163,4885,5062,0
164,5038,5002,0
165,4801,4977,0
166,5033,5063,0
167,5001,4974,1
168,5031,5053,1
169,5037,5029,1
170,4943,5059,1
171,5044,5026,1
172,5043,5039,0
173,4982,5014,1
174,4978,4968,1
175,4996,4798,0
176,5030,5052,0
177,4882,4994,1
178,4983,5060,0
179,4912,5048,0
180,5025,4960,0
181,5020,5005,1
182,4926,4984,1
183,5016,5057,1
184,5017,5054,0
185,5018,5021,0
186,5056,5058,0
187,4989,5042,0
188,5050,5027,0
189,4991,5046,1
190,5000,5022,0
191,5034,4878,0
192,4959,4887,1
193,4886,5004,0
194,4975,5040,1
195,4916,4742,1
196,5036,4864,0
197,4899,4953,1
198,5055,5041,0
199,4988,5049,1
200,4983,4916,1
201,4966,4994,1
202,5043,4974,1
203,5021,4886,1
204,4801,5049,1
205,5026,4864,0
206,5030,5015,1
207,5061,4996,1
208,5042,4984,1
209,5040,5055,0
210,4947,5050,1
211,5047,4975,1
212,5058,5051,0
213,5056,5045,0
214,4959,4982,1
215,5016,5000,1
216,4926,4964,0
217,5011,5038,0
218,4986,4973,0
219,4912,4963,1
220,4968,5002,0
221,5060,5044,0
222,4825,4943,0
223,5046,5048,1
224,5029,4836,0
225,5041,5039,0
226,4960,4993,0
227,5017,5035,0
228,4878,5027,1
229,5063,5024,1
230,5007,4998,1
231,5031,5034,1
232,4885,5023,0
233,5014,5062,0
234,4946,5036,0
235,4977,4798,0
236,5004,4742,1
237,5001,4991,0
238,4842,4882,0
239,5018,4978,1
240,5022,4899,1
241,5059,5052,0
242,4980,4988,1
243,5033,5053,1
244,5025,5054,0
245,4989,5037,0
246,5005,4953,1
247,5057,5013,0
248,4887,4995,0
249,5012,5020,0
250,5014,5038,0
251,4798,4864,1
252,5007,5058,1
253,4974,5053,1
254,5045,4977,1
255,5013,5022,0
256,4975,5000,1
257,5034,4986,0
258,4988,5023,0
259,5057,4825,0
260,4973,5042,1
261,5063,5020,1
262,4885,4887,1
263,5036,4991,0
264,5044,5004,1
265,4982,5047,0
266,5035,4916,0
267,5024,4968,1
268,4926,5017,1
269,4943,5002,0
270,5059,5021,0
271,4886,5051,0
272,4953,5005,0
273,5039,4983,1
274,4993,5043,1
275,5012,5062,0
276,5040,5031,0
277,4912,5049,1
278,4947,4946,1
279,4878,4984,1
280,4964,4994,1
281,5056,5001,0
282,5029,5025,0
283,5011,4882,0
284,4995,4998,1
285,5018,4801,1
286,5055,5061,0
287,5030,5033,1
288,4966,4989,1
289,5041,4742,1
290,5054,5046,1
291,5048,5060,0
292,4963,5050,1
293,4980,4960,1
294,5037,5052,0
295,4996,4978,1
296,5027,5015,0
297,4836,5016,0
298,5026,4899,1
299,4959,4842,1
300,5049,5024,0
301,4960,5060,1
302,4943,4984,1
303,5030,4798,0
304,5052,4978,1
305,5013,4742,1
306,5022,4801,1
307,5034,5054,0
308,5046,4982,0
309,5042,4864,0
310,5038,5020,1
311,4994,4959,0
312,4983,4993,0
313,4973,4977,1
314,5023,4878,1
315,4988,4975,1
316,4842,5011,1
317,4963,4825,0
318,5017,5000,1
319,5047,5036,1
320,5044,4996,1
321,4998,5059,1
322,4912,5061,0
323,4886,4836,1
324,5029,5063,0
325,5027,5007,0
326,5051,4885,1
327,5055,5026,0
328,5035,5015,1
329,5048,4986,0
330,5058,5050,1
331,5014,5001,0
332,5037,5056,0
333,4916,5041,1
334,5031,5018,0
335,4946,5004,0
336,4899,5021,0
337,5053,4926,0
338,5045,5016,1
339,4887,4974,0
340,5033,5025,0
341,5012,5002,0
342,5043,5040,1
343,5062,4995,1
344,5057,4989,1
345,4980,4953,1
346,5005,4966,0
347,4882,4947,0
348,4964,4968,1
349,4991,5039,0
350,5017,5058,0
351,5045,4991,1
352,5047,5001,1
353,5044,4916,1
354,5031,4864,0
355,5054,4982,1
356,4988,4899,1
357,5018,5027,1
358,4974,4798,0
359,4973,5029,1
360,5005,5014,0
361,5000,4983,0
362,4878,5021,0
363,4887,4998,0
364,4882,4966,1
365,4975,5012,0
366,4885,5040,1
367,4842,5042,0
368,5036,4943,0
369,5033,5049,1
370,4926,5043,0
371,5063,5062,0
